"Text Editing","Display Buffer Other Frame","Ctrl+X 5 Ctrl+O","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Text Editing","Pop Global Mark","Ctrl+X Ctrl+Space","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+-","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Text Editing","Reposition Window","Ctrl+Alt+L","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Text Editing","Backward Paragraph","Shift+Ctrl+Up","Editing Text"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+O","Editing Text"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Text Editing","Join Other Windows","Ctrl+X 1","In Windows"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Text Editing","Pop Tag Mark","Alt+*","Editing Text"
"Text Editing","Scroll Down","Esc Shift+V","Editing Text"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Text Editing","Scroll Up","Ctrl+V","Editing Text"
"Text Editing","Universal Argument","Alt+0","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Forward History","Ctrl+X Ctrl+Right","In Windows"
"Text Editing","Backward Word","Ctrl+Left","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Insert Register","Ctrl+X G","Editing Text"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Text Editing","Uppercase","Alt+U","Editing Text"
"Text Editing","Yank Pop","Alt+Y","Editing Text"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Universal Argument","Alt+1","Editing Text"
"Text Editing","Mark Word","Shift+Alt+2","Editing Text"
"Text Editing","Begin Buffer","Esc <","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Source","Toggle Comment","Esc ;","Editing Java Source"
"gazonk.del","Copy","Ctrl+C","In Console View"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Text Editing","End Line","Shift+End","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+9","Editing Text"
"Text Editing","Scroll Down","Alt+V","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Toggle Allow Edit","Ctrl+X Ctrl+Q","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","End Buffer","Esc >","Editing Text"
"Text Editing","Next Line","Shift+Down","Editing Text"
"Text Editing","Universal Argument","Alt+8","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Begin Buffer","Shift+Alt+,","Editing Text"
"Edit","Quick Fix","Shift+Ctrl+Enter","In Dialogs and Windows"
"Navigate","Forward History","Ctrl+X Right","In Windows"
"Text Editing","Universal Argument","Ctrl+7","Editing Text"
"gazonk.del","Delete Next Word","Esc D","In Console View"
"Text Editing","Universal Argument","Alt+-","Editing Text"
"Text Editing","Text End","Alt+>","Editing Text"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Text Editing","Scroll Up","Shift+Ctrl+V","Editing Text"
"Text Editing","Universal Argument","Ctrl+U","Editing Text"
"Text Editing","Undo+","Ctrl+/","Editing Text"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Navigate","Open Declaration","Alt+.","Editing Java Source"
"Edit","Forward Sexp","Shift+Ctrl+Alt+F","Editing Text"
